Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	18:39 3/1/2021	158
TomH	18:40 3/1/2021	130
Mike	12:17 3/5/2021	122
Jim	12:17 3/5/2021	188
Lana	12:17 3/5/2021	155
Tom	12:17 3/5/2021	170
TomH	12:17 3/5/2021	101
Jim	12:46 3/5/2021	122
Tom	12:46 3/5/2021	197
Jim	13:7 3/5/2021	126
Jim	13:10 3/5/2021	161
Tom	13:12 3/5/2021	160
Tom	13:13 3/5/2021	127
Tom	13:28 3/5/2021	117
Lana	13:35 3/5/2021	133
Tom	15:18 3/5/2021	127
Jim	15:18 3/5/2021	137
Jim	15:28 3/5/2021	130
Jim	15:38 3/5/2021	101
Tom	15:40 3/5/2021	111
Tom	15:55 3/5/2021	105
Mike	16:4 3/5/2021	122
Mike	16:7 3/5/2021	68
Jim	16:11 3/5/2021	99
Tom	16:16 3/5/2021	185
Tom	16:25 3/5/2021	130
TomH	16:30 3/5/2021	135
Jim	16:45 3/5/2021	114
Jim	16:58 3/5/2021	105
Hello	17:4 3/5/2021	144
Tom	17:30 3/5/2021	143
Jim	13:27 3/6/2021	176
Jim	13:29 3/6/2021	137
Tom	14:19 3/6/2021	115
Tom	14:23 3/6/2021	145
Lana	14:28 3/6/2021	108
Lana	15:33 3/6/2021	89
Jim	19:49 3/0/2021	123
Tom	19:52 3/0/2021	115
Jim	20:12 3/0/2021	145
Jim	20:13 3/0/2021	142
Jim	20:34 3/0/2021	130
TomH	20:34 3/0/2021	99
Tom	20:34 3/0/2021	154
Tom	21:47 3/0/2021	166
Lana	10:48 3/1/2021	139
Tom	10:49 3/1/2021	140
Tom	10:51 3/1/2021	91
Mike	10:51 3/1/2021	102
TomH	10:51 3/1/2021	116
Jim	10:51 3/1/2021	175
Mike	10:51 3/1/2021	139
Jim	11:38 3/1/2021	113
Mike	13:15 3/1/2021	121
TomH	13:15 3/1/2021	126
Mike	13:15 3/1/2021	122
Mike	13:22 3/1/2021	157
Mike	13:29 3/1/2021	113
Jim	13:29 3/1/2021	113
Tom	17:54 3/1/2021	164
